	Species	LW Rh	Wg
1	Myrcidris epicharisa	AY703785	AY703651
2	Pseudomyrmex apachea	AY703786	AY703652
3	Pseudomyrmex boopisa	AY703787	AY703653
4	Pseudomyrmex concolora	AY703788	AY703654
5	Pseudomyrmex cordiaea	AY703789	AY703655
6	Pseudomyrmex cubaensisa	AY703790	AY703656
7	Pseudomyrmex dendroicusa	AY703791	AY703657
8	Pseudomyrmex denticollisa	AY703792	AY703658
9	Pseudomyrmex elongatulusa	AY703793	AY703659
10	Pseudomyrmex ferrugineusb	HM020792	HM020841
11	Pseudomyrmex filiformisa	AY703794	AY703660
12	Pseudomyrmex flavicornisa	AY703795	AY703661
13	Pseudomyrmex godmania	AY703796	AY703662
14	Pseudomyrmex gracilisa	AY703797	AY703663
15	Pseudomyrmex haytianusa	AY703798	AY703664
16	Pseudomyrmex holmgrenia	AY703799	AY703665
17	Pseudomyrmex itaa	AY703800	AY703666
18	Pseudomyrmex kuenckelia	AY703801	AY703667
19	Pseudomyrmex mixtecusb	HM020793	HM020842
20	Pseudomyrmex nigrocinctusa	AY703802	AY703668
21	Pseudomyrmex nigropilosusa	AY703803	AY703669
22	Pseudomyrmex oculatusa	AY703804	AY703670
23	Pseudomyrmex okia	AY703805	AY703671
24	Pseudomyrmex pallensa	AY703807	AY703673
25	Pseudomyrmex pallidusa	AY703806	AY703672
26	Pseudomyrmex pazosia	AY703808	AY703674
27	Pseudomyrmex peperib	HM020794	HM020843
28	Pseudomyrmex phyllophilusa	AY703809	AY703675
29	Pseudomyrmex satanicusc	FJ436889	FJ436865
30	Pseudomyrmex sericeusa	AY703810	AY703676
31	Pseudomyrmex simplexa	AY703811	AY703677
32	Pseudomyrmex spiculusa	AY703812	AY703678
33	Pseudomyrmex spinicolac	FJ436890	FJ436866
34	Pseudomyrmex subatera	AY703813	AY703679
35	Pseudomyrmex tachigaliaea	AY703814	AY703680
36	Pseudomyrmex tenuisa	AY703815	AY703681
37	Pseudomyrmex tenuissimusa	AY703816	AY703682
38	Pseudomyrmex termitariusa	AY703817	AY703683
39	Pseudomyrmex veneficusb	HM020795	HM020844
40	Pseudomyrmex viduusa	AY703818	AY703684
41	Tetraponera aethiopsa	AY703770	AY703636
42	Tetraponera pilosaa	AY703781	AY703647
43	Tetraponera rufonigraa	AY703783	AY703649
